DBN,Zip_Code,Lat,Lon,Private_School_Count,Planned_Housing_Units,School_Age_Pop_2019,School_Age_Pop_2020,School_Age_Pop_2021,School_Age_Pop_2022,School_Age_Pop_2023
02M047,10010,40.73837,-73.9813,0,0.0,4563,4603,4318,4414,4066
14K610,11222,40.72145,-73.9533,0,0.0,4100,4207,4984,5099,5301
06M540,10031,40.8185,-73.9499,0,0.0,9722,9683,10108,9190,9144
24Q290,,,,0,0.0,0,0,0,0,0
21K410,11235,40.58263,-73.9687,0,0.0,14390,13781,15047,14176,13916
84X491,,,,0,0.0,0,0,0,0,0
30Q301,11101,40.74296,-73.9592,0,0.0,5611,5773,5762,5053,5688
17K382,11226,40.6496,-73.9572,0,0.0,22108,20534,19770,18944,18479
18K637,11236,40.63445,-73.9169,0,0.0,22945,22174,22914,21790,20165
32K403,11237,40.69646,-73.9118,0,0.0,10015,8573,8769,7496,6454
17K751,11213,40.67591,-73.9393,0,0.0,15552,14948,15665,16216,16175
09X365,10453,40.84942,-73.9152,0,0.0,22678,21380,21783,21673,20105
30Q235,,,,0,0.0,0,0,0,0,0
10X363,,,,0,0.0,0,0,0,0,0
11X270,10466,40.88824,-73.8527,0,0.0,17073,16360,17106,16866,18278
02M546,10003,40.73536,-73.9871,0,85403.0,3374,3923,3721,3866,3792
19K404,11208,,,0,0.0,27510,27624,29442,28716,28382
30Q575,11101,40.75114,-73.9376,0,0.0,5611,5773,5762,5053,5688
07X343,,,,0,0.0,0,0,0,0,0
13K492,,,,0,0.0,0,0,0,0,0
24Q264,11101,40.74418,-73.937,0,0.0,5611,5773,5762,5053,5688
17K408,11226,40.6496,-73.9572,0,0.0,22108,20534,19770,18944,18479
19K618,11208,40.693,-73.8693,0,0.0,27510,27624,29442,28716,28382
27Q309,11691,40.60154,-73.764,0,0.0,20928,20909,22035,20933,19479
07X298,,,,0,0.0,0,0,0,0,0
84Q359,,,,0,0.0,0,0,0,0,0
12X341,,,,0,0.0,0,0,0,0,0
84K774,,,,0,0.0,0,0,0,0,0
84K680,,,,0,0.0,0,0,0,0,0
84K626,,,,0,0.0,0,0,0,0,0
84K538,,,,0,0.0,0,0,0,0,0
84K356,,,,0,0.0,0,0,0,0,0
84K358,,,,0,0.0,0,0,0,0,0
84K508,,,,0,0.0,0,0,0,0,0
84Q416,,,,0,0.0,0,0,0,0,0
84K788,,,,0,0.0,0,0,0,0,0
84K784,,,,0,0.0,0,0,0,0,0
84K876,,,,0,0.0,0,0,0,0,0
84X611,,,,0,0.0,0,0,0,0,0
30Q126,,,,0,0.0,0,0,0,0,0
07X600,10451,40.81865,-73.9199,0,0.0,12321,12131,11998,12642,11031
32K554,11237,40.69738,-73.9132,0,0.0,10015,8573,8769,7496,6454
84M705,,,,0,0.0,0,0,0,0,0
84M390,,,,0,0.0,0,0,0,0,0
84X592,,,,0,0.0,0,0,0,0,0
84X471,,,,0,0.0,0,0,0,0,0
06M311,,,,0,0.0,0,0,0,0,0
10X344,,,,0,0.0,0,0,0,0,0
22K240,,,,0,0.0,0,0,0,0,0
08X376,10473,40.82122,-73.8559,0,0.0,15052,14306,14139,13602,12983
12X531,,,,0,0.0,0,0,0,0,0
08X367,10473,40.81504,-73.8561,0,0.0,15052,14306,14139,13602,12983
02M630,10019,40.75925,-73.9672,0,0.0,3451,3057,2934,2766,2716
12X446,,,,0,0.0,0,0,0,0,0
17K646,,,,0,0.0,0,0,0,0,0
