zip_code,Proposed_Units,Private_School_Count,School_Age_Pop,Score
10128,474128.0,0,6388.0,954644.0
10025,305887.0,0,11617.0,623391.0
10023,28346.0,0,8179.0,64871.0
08701,0.0,0,58307.0,58307.0
10019,22455.0,0,2269.0,47179.0
10003,15899.0,0,3427.0,35225.0
10022,15906.0,0,3235.0,35047.0
10024,12365.0,0,9990.0,34720.0
77494,0.0,0,33936.0,33936.0
11201,11384.0,0,11021.0,33789.0
11219,712.0,0,31110.0,32534.0
77433,0.0,0,31528.0,31528.0
10021,13117.0,0,5255.0,31489.0
10016,13219.0,0,4469.0,30907.0
77449,0.0,0,30863.0,30863.0
10036,14059.0,0,1818.0,29936.0
10462,6970.0,0,15597.0,29537.0
11208,2743.0,0,23895.0,29381.0
10002,10266.0,0,8386.0,28918.0
11368,2363.0,0,23276.0,28002.0
